1|INT+ 2 <SPECIAL_3> + * FLOAT- 5 10^ INT- 1 x1 * FLOAT- 5 10^ INT- 1 + * FLOAT+ 8 2 0 0 10^ INT- 4 - sin + x0 FLOAT+ 1 5 8 8 10^ INT- 4 FLOAT+ 1 5 8 1 10^ INT- 4 + * FLOAT+ 1 3 2 9 7 10^ INT- 4 - sin + - x0 x2 FLOAT+ 5 8 3 0 10^ INT- 4 FLOAT+ 5 8 3 0 10^ INT- 4 <SPECIAL_3> + * FLOAT- 5 10^ INT- 1 x3 * FLOAT- 5 10^ INT- 1 + * FLOAT+ 1 1 7 7 5 10^ INT- 4 - sin + x2 FLOAT+ 1 0 0 5 10^ INT- 4 FLOAT+ 1 0 0 3 10^ INT- 4 + * FLOAT+ 1 3 2 9 7 10^ INT- 4 - sin + - x2 x0 FLOAT- 5 8 3 0 10^ INT- 4 FLOAT- 5 8 3 0 10^ INT- 4 + + + ^ x1 INT+ 2 ^ x3 INT+ 2 * FLOAT+ 8 2 0 0 10^ INT- 4 - FLOAT+ 9 8 7 4 10^ INT- 4 cos + x0 FLOAT+ 1 5 8 8 10^ INT- 4 * FLOAT+ 1 1 7 7 5 10^ INT- 4 - FLOAT+ 9 9 5 0 10^ INT- 4 cos + x2 FLOAT+ 1 0 0 5 10^ INT- 4 * FLOAT+ 1 3 2 9 7 10^ INT- 4 - FLOAT+ 9 9 8 3 10^ INT- 4 cos + - x0 x2 FLOAT+ 5 8 3 0 10^ INT- 4	
1|INT+ 2 <SPECIAL_3> + * FLOAT- 5 10^ INT- 1 x1 * FLOAT- 5 10^ INT- 1 + * FLOAT+ 8 2 10^ INT- 2 - sin + x0 FLOAT+ 1 5 8 8 10^ INT- 4 FLOAT+ 1 5 8 1 10^ INT- 4 * FLOAT+ 1 3 2 9 7 10^ INT- 4 - sin + - x0 x2 FLOAT+ 5 8 3 10^ INT- 4 FLOAT+ 5 8 3 10^ INT- 4 <SPECIAL_3> + * FLOAT- 5 10^ INT- 1 x3 * FLOAT- 5 10^ INT- 1 + * FLOAT+ 1 1 7 7 5 10^ INT- 4 - sin + x2 FLOAT+ 1 0 0 5 10^ INT- 4 FLOAT+ 1 0 0 3 10^ INT- 4 * FLOAT+ 1 3 2 9 7 10^ INT- 4 - sin - - x2 x0 FLOAT+ 5 8 3 10^ INT- 4 FLOAT- 5 8 3 10^ INT- 4 + + + + + * FLOAT+ 5 10^ INT- 1 ^ x0 INT+ 2 * FLOAT+ 5 10^ INT- 1 ^ x1 INT+ 2 * FLOAT+ 5 10^ INT- 1 ^ x2 INT+ 2 * FLOAT+ 5 10^ INT- 1 ^ x3 INT+ 2 * FLOAT+ 8 2 10^ INT- 2 - - FLOAT+ 9 8 7 4 10^ INT- 4 cos + x0 FLOAT+ 1 5 8 8 10^ INT- 4 * FLOAT+ 1 5 8 1 10^ INT- 4 x0 * FLOAT+ 1 1 7 7 5 10^ INT- 4 - - FLOAT+ 9 9 5 0 10^ INT- 4 cos + x2 FLOAT+ 1 0 0 5 10^ INT- 4 * FLOAT+ 1 0 0 3 10^ INT- 4 x2	
1|INT+ 2 <SPECIAL_3> + * FLOAT+ 2 0 0 10^ INT- 4 * cos x0 cos x2 + * FLOAT- 2 0 0 10^ INT- 4 cos x0 + * FLOAT- 9 9 9 8 10^ INT- 4 sin x0 + * FLOAT- 4 0 0 0 10^ INT- 4 x1 + * FLOAT+ 4 9 9 6 10^ INT- 4 * cos x0 sin x2 + * FLOAT- 4 9 9 6 10^ INT- 4 * cos x2 sin x0 * FLOAT+ 2 0 0 10^ INT- 4 * sin x0 sin x2 <SPECIAL_3> + * FLOAT+ 4 9 9 6 10^ INT- 4 * cos x2 sin x0 + * FLOAT- 2 9 9 10^ INT- 4 cos x2 + * FLOAT- 4 9 9 1 10^ INT- 4 sin x2 + * FLOAT- 2 0 0 10^ INT- 4 * cos x0 cos x2 + * FLOAT- 4 9 9 6 10^ INT- 4 * cos x0 sin x2 + * FLOAT- 5 0 0 0 10^ INT- 4 x3 + * FLOAT- 2 0 0 10^ INT- 4 * sin x0 sin x2 FLOAT+ 5 0 0 10^ INT- 4	+ * FLOAT+ 3 0 10^ INT- 4 sin x0 + * FLOAT- 8 10^ INT- 5 x3 + * FLOAT- 2 6 8 3 10^ INT- 4 cos x0 + * FLOAT- 2 6 4 9 10^ INT- 4 cos x2 + * FLOAT- 3 0 10^ INT- 4 x1 + * FLOAT+ 4 4 10^ INT- 4 sin x2 + * FLOAT- 2 3 7 7 10^ INT- 4 * cos x0 cos x2 + * FLOAT+ 8 10^ INT- 4 * cos x0 sin x0 + * FLOAT+ 4 7 10^ INT- 4 * cos x0 sin x2 + * FLOAT- 3 7 10^ INT- 4 * cos x2 sin x0 + * FLOAT- 9 2 10^ INT- 4 * cos x2 sin x2 + * FLOAT- 1 5 8 8 10^ INT- 4 * sin x0 sin x2 + * FLOAT- 1 0 9 10^ INT- 4 ^ cos x0 INT+ 2 + * FLOAT+ 2 0 3 10^ INT- 4 ^ cos x2 INT+ 2 + * FLOAT- 4 10^ INT- 4 * x1 x3 + * FLOAT- 1 6 10^ INT- 4 * x1 cos x0 + * FLOAT+ 4 7 10^ INT- 4 * x1 cos x2 + * FLOAT+ 1 1 10^ INT- 4 * x3 cos x0 + * FLOAT- 1 0 10^ INT- 4 * x3 cos x2 + * FLOAT+ 5 7 9 10^ INT- 4 * x1 sin x0 + * FLOAT+ 2 1 9 10^ INT- 4 * x1 sin x2 + * FLOAT+ 1 9 5 10^ INT- 4 * x3 sin x0 + * FLOAT+ 9 7 2 10^ INT- 4 * x3 sin x2 + * FLOAT+ 1 4 6 1 10^ INT- 4 ^ x1 INT+ 2 + * FLOAT+ 1 7 0 3 10^ INT- 4 ^ x3 INT+ 2 FLOAT+ 7 6 1 4 10^ INT- 4
1|INT+ 2 <SPECIAL_3> + + + + + + + + * FLOAT+ 1 6 9 7 1 5 10^ INT- 4 * cos x0 sin x2 * FLOAT- 3 1 6 1 3 1 10^ INT- 4 cos x0 * FLOAT- 5 0 8 2 6 9 10^ INT- 4 sin x0 * FLOAT- 1 9 7 1 8 10^ INT- 4 * cos x0 cos x2 * FLOAT- 1 8 8 6 8 10^ INT- 4 x1 * FLOAT- 1 6 9 7 1 5 10^ INT- 4 * cos x2 sin x0 * FLOAT- 1 9 7 1 8 10^ INT- 4 * sin x0 sin x2 FLOAT+ 3 3 5 8 4 9 10^ INT- 4 <SPECIAL_3> + + + + + + + + * FLOAT+ 1 1 3 9 8 6 10^ INT- 4 * cos x2 sin x0 * FLOAT- 4 7 2 7 2 3 10^ INT- 4 cos x2 * FLOAT- 8 7 4 6 1 8 10^ INT- 4 sin x2 * FLOAT- 1 2 0 8 8 10^ INT- 4 * cos x0 cos x2 * FLOAT- 1 1 3 9 8 6 10^ INT- 4 * cos x0 sin x2 * FLOAT- 1 2 6 5 8 10^ INT- 4 x3 * FLOAT- 1 2 0 8 8 10^ INT- 4 * sin x0 sin x2 FLOAT+ 4 8 4 8 1 0 10^ INT- 4	+ + + + + + + + + + + + + + + + + + + + + + + + + * FLOAT+ 3 6 10^ INT- 4 x1 * FLOAT- 2 6 10^ INT- 4 x3 * FLOAT- 7 0 0 7 10^ INT- 4 cos x0 * FLOAT- 7 8 6 6 10^ INT- 4 cos x2 * FLOAT- 2 7 6 2 10^ INT- 4 sin x0 * FLOAT- 2 7 0 2 10^ INT- 4 sin x2 * FLOAT- 1 9 0 5 10^ INT- 4 * cos x0 cos x2 * FLOAT+ 2 7 0 2 10^ INT- 4 * cos x0 sin x0 * FLOAT+ 4 6 7 10^ INT- 4 * cos x0 sin x2 * FLOAT+ 6 9 0 10^ INT- 4 * cos x2 sin x0 * FLOAT+ 2 2 3 5 10^ INT- 4 * cos x2 sin x2 * FLOAT- 5 5 9 10^ INT- 4 * sin x0 sin x2 * FLOAT- 7 4 4 10^ INT- 4 ^ cos x0 INT+ 2 * FLOAT- 1 0 4 4 10^ INT- 4 ^ cos x2 INT+ 2 * FLOAT+ 1 5 10^ INT- 4 * x1 x3 * FLOAT- 7 6 10^ INT- 4 * x1 cos x0 * FLOAT+ 4 0 10^ INT- 4 * x1 cos x2 * FLOAT+ 4 2 10^ INT- 4 * x3 cos x0 * FLOAT- 1 6 10^ INT- 4 * x3 cos x2 * FLOAT+ 1 3 8 10^ INT- 4 * x1 sin x0 * FLOAT- 1 8 10^ INT- 4 * x1 sin x2 * FLOAT+ 5 6 10^ INT- 4 * x3 sin x0 * FLOAT+ 9 1 10^ INT- 4 * x3 sin x2 * FLOAT+ 7 5 10^ INT- 4 ^ x1 INT+ 2 * FLOAT+ 5 9 10^ INT- 4 ^ x3 INT+ 2 FLOAT+ 1 8 5 6 7 10^ INT- 4
1|INT+ 1 <SPECIAL_3> + * FLOAT- 1 5 10^ INT- 1 x1 * FLOAT- 2 10^ INT+ 0 - sin + x0 FLOAT- 2 5 3 0 10^ INT- 4 FLOAT- 2 5 0 3 10^ INT- 4 + * FLOAT+ 5 10^ INT- 2 ^ x1 INT+ 2 * FLOAT+ 2 10^ INT- 1 - - FLOAT+ 9 6 8 2 10^ INT- 4 cos + x0 FLOAT- 2 5 3 0 10^ INT- 4 * FLOAT- 2 5 0 3 10^ INT- 4 x0	
1|INT+ 1 <SPECIAL_3> + * FLOAT- 1 5 10^ INT- 1 x1 * FLOAT- 2 10^ INT+ 0 - sin + x0 FLOAT+ 2 5 3 0 10^ INT- 4 FLOAT+ 2 5 0 3 10^ INT- 4 + * FLOAT+ 5 10^ INT- 2 ^ x1 INT+ 2 * FLOAT+ 2 10^ INT- 1 - - FLOAT+ 9 6 8 2 10^ INT- 4 cos + x0 FLOAT+ 2 5 3 0 10^ INT- 4 * FLOAT+ 2 5 0 3 10^ INT- 4 x0	
1|INT+ 1 <SPECIAL_3> + * FLOAT- 1 5 10^ INT- 1 x1 * FLOAT- 2 10^ INT+ 0 - sin + x0 FLOAT+ 5 2 4 0 10^ INT- 4 FLOAT+ 5 0 0 3 10^ INT- 4 + * FLOAT+ 5 10^ INT- 2 ^ x1 INT+ 2 * FLOAT+ 2 10^ INT- 1 - - FLOAT+ 8 6 5 8 10^ INT- 4 cos + x0 FLOAT+ 5 2 4 0 10^ INT- 4 * FLOAT+ 5 0 0 3 10^ INT- 4 x0	
1|INT+ 1 <SPECIAL_3> + * FLOAT- 1 5 10^ INT- 1 x1 * FLOAT- 2 10^ INT+ 0 - sin + x0 FLOAT+ 8 4 8 0 10^ INT- 4 FLOAT+ 7 5 0 0 10^ INT- 4 + * FLOAT+ 5 10^ INT- 2 ^ x1 INT+ 2 * FLOAT+ 2 10^ INT- 1 - - FLOAT+ 6 6 1 5 10^ INT- 4 cos + x0 FLOAT+ 8 4 8 0 10^ INT- 4 * FLOAT+ 7 5 0 0 10^ INT- 4 x0	
1|INT+ 1 <SPECIAL_3> + * FLOAT- 1 5 10^ INT- 1 x1 * FLOAT- 2 10^ INT+ 0 - sin + x0 FLOAT+ 1 1 2 0 0 10^ INT- 4 FLOAT+ 9 0 0 1 10^ INT- 4 + * FLOAT+ 5 10^ INT- 2 ^ x1 INT+ 2 * FLOAT+ 2 10^ INT- 1 - - FLOAT+ 4 3 5 7 10^ INT- 4 cos + x0 FLOAT+ 1 1 2 0 0 10^ INT- 4 * FLOAT+ 9 0 0 1 10^ INT- 4 x0	
1|INT+ 1 <SPECIAL_3> + * FLOAT- 1 5 10^ INT- 1 x1 * FLOAT- 2 10^ INT+ 0 - sin + x0 FLOAT+ 1 4 3 0 0 10^ INT- 4 FLOAT+ 9 9 0 1 10^ INT- 4 + * FLOAT+ 5 10^ INT- 2 ^ x1 INT+ 2 * FLOAT+ 2 10^ INT- 1 - - FLOAT+ 1 4 0 3 10^ INT- 4 cos + x0 FLOAT+ 1 4 3 0 0 10^ INT- 4 * FLOAT+ 9 9 0 1 10^ INT- 4 x0	
